name,name_sci,name_sci_ja,name_alt,year_excavation,year_named,wikipedia
フクイサウルス,Fukuisaurus tetoriensis,フクイサウルス・テトリエンシス,フクイリュウ,1989,2003,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%AF%E3%82%A4%E3%82%B5%E3%82%A6%E3%83%AB%E3%82%B9
フクイティタン,Fukuititan nipponensis,フクイティタン・ニッポネンシス,,2007,2010,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%AF%E3%82%A4%E3%83%86%E3%82%A3%E3%82%BF%E3%83%B3
コシサウルス,Koshisaurus katsuyama,コシサウルス・カツヤマ,,2008,2015,https://ja.wikipedia.org/wiki/%E3%82%B3%E3%82%B7%E3%82%B5%E3%82%A6%E3%83%AB%E3%82%B9
フクイベナートル,Fukuivenator,,フクイヴェナトル,2007,2016,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%AF%E3%82%A4%E3%83%99%E3%83%8A%E3%83%BC%E3%83%88%E3%83%AB
フクイプテリクス,Fukuipteryx,,,2013,2019,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%AF%E3%82%A4%E3%83%97%E3%83%86%E3%83%AA%E3%82%AF%E3%82%B9
フクイラプトル,Fukuiraptor kitadaniensis,フクイラプトル・キタダニエンシス,,2006,2020,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%AF%E3%82%A4%E3%83%A9%E3%83%97%E3%83%88%E3%83%AB
フクイエンシス,,ティラノミムス・フクイエンシス,,1998,2023,https://ja.wikipedia.org/wiki/%E3%83%86%E3%82%A3%E3%83%A9%E3%83%8E%E3%83%9F%E3%83%A0%E3%82%B9
