date_visit,n_people,amount_fee
2026-05-27,0,0
2026-05-28,693,572350
2026-05-29,785,658800
2026-05-30,1579,1321950
2026-05-31,1242,1070900
2026-06-01,566,519850
2026-06-02,149,122300
2026-06-03,196,179100
2026-06-04,220,197050
2026-06-05,470,458650
2026-06-06,1098,950900
2026-06-07,645,583950
2026-06-08,441,395550
2026-06-09,201,190650
2026-06-10,0,0
2026-06-11,231,201500
2026-06-12,333,295350
2026-06-13,834,760050
2026-06-14,680,634350
2026-06-15,350,314850
2026-06-16,173,156500
2026-06-17,91,90800
2026-06-18,116,91000
2026-06-19,311,251100
2026-06-20,652,633650
2026-06-21,423,403900
2026-06-22,263,213950
2026-06-23,102,84850
2026-06-24,0,0
2026-06-25,137,134800
2026-06-26,222,233500
2026-06-27,463,468400
2026-06-28,318,293850
2026-06-29,156,143350
2026-06-30,44,37000
2026-07-01,65,55900
2026-07-02,60,62350
2026-07-03,154,129700
2026-07-04,243,238250
2026-07-05,172,164050
2026-07-06,103,100150
2026-07-07,73,61050
2026-07-08,0,0
2026-07-09,130,110400
2026-07-10,320,261350
2026-07-11,489,391650
2026-07-12,285,244900
2026-07-13,161,149150
2026-07-14,116,105600
2026-07-15,91,66650
2026-07-16,138,111450
2026-07-17,202,170500
2026-07-18,804,676300
2026-07-19,1207,969600
2026-07-20,581,510600
2026-07-21,662,567700
2026-07-22,279,248000
2026-07-23,328,274550
2026-07-24,606,470200
2026-07-25,543,459500
2026-07-26,545,453050
