date_visit,n_people,amount_fee
2026-04-22,0,0
2026-04-23,636,478150
2026-04-24,773,691000
2026-04-25,1425,1213400
2026-04-26,1259,1076100
2026-04-27,632,550650
2026-04-28,586,533450
2026-04-29,1132,1000850
2026-04-30,1418,1172500
2026-05-01,1637,1330600
2026-05-02,2958,2274800
2026-05-03,5191,3956300
2026-05-04,4693,3605100
2026-05-05,2901,2270100
2026-05-06,988,863700
2026-05-07,442,437650
2026-05-08,366,318450
2026-05-09,734,667100
2026-05-10,587,513300
2026-05-11,263,203000
2026-05-12,177,156050
2026-05-13,0,0
2026-05-14,212,174650
2026-05-15,353,311550
2026-05-16,825,729650
2026-05-17,596,509100
2026-05-18,252,211450
2026-05-19,129,106900
2026-05-20,113,90850
2026-05-21,171,141550
2026-05-22,296,268000
2026-05-23,485,442900
2026-05-24,383,378200
2026-05-25,177,162900
2026-05-26,102,86850
2026-05-27,0,0
2026-05-28,134,128450
2026-05-29,183,173550
2026-05-30,332,341050
2026-05-31,254,266600
2026-06-01,139,127050
2026-06-02,26,25100
2026-06-03,46,46100
2026-06-04,21,23900
2026-06-05,87,93850
2026-06-06,216,194450
2026-06-07,133,118550
2026-06-08,66,49200
2026-06-09,34,28300
2026-06-10,0,0
2026-06-11,29,22200
2026-06-12,91,82300
2026-06-13,187,184850
2026-06-14,140,124250
2026-06-15,73,58450
2026-06-16,31,18000
2026-06-17,7,7200
2026-06-18,18,14600
2026-06-19,49,41350
2026-06-20,131,124000
2026-06-21,49,45800
