date_visit,n_people,amount_fee
2026-04-23,0,0
2026-04-24,837,721950
2026-04-25,1578,1312300
2026-04-26,1370,1158550
2026-04-27,664,568950
2026-04-28,593,533950
2026-04-29,1170,1029850
2026-04-30,1488,1217600
2026-05-01,1699,1372400
2026-05-02,3114,2394800
2026-05-03,5371,4088800
2026-05-04,4919,3775600
2026-05-05,3050,2376200
2026-05-06,1027,894000
2026-05-07,449,443650
2026-05-08,399,340850
2026-05-09,741,672700
2026-05-10,602,522950
2026-05-11,274,212750
2026-05-12,188,163550
2026-05-13,0,0
2026-05-14,216,176150
2026-05-15,362,316050
2026-05-16,834,735800
2026-05-17,604,513350
2026-05-18,263,218050
2026-05-19,127,104900
2026-05-20,117,93350
2026-05-21,173,143550
2026-05-22,304,274600
2026-05-23,505,467850
2026-05-24,398,395250
2026-05-25,185,169400
2026-05-26,104,88850
2026-05-27,0,0
2026-05-28,156,131050
2026-05-29,185,175350
2026-05-30,368,351250
2026-05-31,266,271100
2026-06-01,139,127050
2026-06-02,28,27100
2026-06-03,48,50500
2026-06-04,22,23900
2026-06-05,93,98450
2026-06-06,227,208550
2026-06-07,138,126650
2026-06-08,66,49200
2026-06-09,34,28300
2026-06-10,0,0
2026-06-11,35,29700
2026-06-12,91,82300
2026-06-13,195,191350
2026-06-14,149,135850
2026-06-15,76,63950
2026-06-16,35,21500
2026-06-17,7,7200
2026-06-18,18,14600
2026-06-19,58,51850
2026-06-20,135,128000
2026-06-21,53,47800
2026-06-22,41,23900
