date_visit,n_people,amount_fee
2026-06-13,0,0
2026-06-14,2315,1896250
2026-06-15,947,793750
2026-06-16,413,364900
2026-06-17,258,250000
2026-06-18,306,251300
2026-06-19,695,597700
2026-06-20,1257,1107050
2026-06-21,966,827250
2026-06-22,547,463000
2026-06-23,268,229950
2026-06-24,0,0
2026-06-25,294,270000
2026-06-26,471,452950
2026-06-27,892,811550
2026-06-28,854,740150
2026-06-29,326,312050
2026-06-30,107,97450
2026-07-01,130,111100
2026-07-02,163,166200
2026-07-03,324,283150
2026-07-04,533,491650
2026-07-05,393,363100
2026-07-06,200,190200
2026-07-07,173,157000
2026-07-08,0,0
2026-07-09,229,193000
2026-07-10,713,557750
2026-07-11,1178,917900
2026-07-12,680,576400
2026-07-13,444,365150
2026-07-14,274,226700
2026-07-15,204,160200
2026-07-16,224,178400
2026-07-17,532,416200
2026-07-18,1501,1188700
2026-07-19,2135,1650550
2026-07-20,1177,929700
2026-07-21,1030,800350
2026-07-22,625,548950
2026-07-23,659,548550
2026-07-24,1129,857400
2026-07-25,1063,838000
2026-07-26,1239,952550
2026-07-27,1308,955800
2026-07-28,1096,864650
2026-07-29,859,689350
2026-07-30,837,632600
2026-07-31,1144,894750
2026-08-01,845,728300
2026-08-02,779,637100
2026-08-03,791,677000
2026-08-04,593,520100
2026-08-05,449,417050
2026-08-06,609,518200
2026-08-07,918,745300
2026-08-08,964,798200
2026-08-09,1426,1110450
2026-08-10,1417,1083250
2026-08-11,925,778350
2026-08-12,1154,927700
