date_visit,n_people,amount_fee
2025-07-07,0,0
2025-07-08,493,386050
2025-07-09,0,0
2025-07-10,421,333800
2025-07-11,1705,1223150
2025-07-12,2812,2079050
2025-07-13,1757,1353750
2025-07-14,918,715350
2025-07-15,496,399900
2025-07-16,360,290350
2025-07-17,533,411850
2025-07-18,911,722050
2025-07-19,2797,2104250
2025-07-20,4063,2924600
2025-07-21,1964,1436700
2025-07-22,1659,1200350
2025-07-23,1389,1053450
2025-07-24,1476,1060550
2025-07-25,1938,1405150
2025-07-26,1815,1311450
2025-07-27,2041,1502100
2025-07-28,2064,1526800
2025-07-29,1735,1272200
2025-07-30,1511,1100000
2025-07-31,1627,1196800
2025-08-01,1690,1213050
2025-08-02,1949,1449350
2025-08-03,1824,1360300
2025-08-04,2065,1501400
2025-08-05,1389,1084950
2025-08-06,1141,852700
2025-08-07,1392,1061050
2025-08-08,1586,1197700
2025-08-09,2008,1532100
2025-08-10,2768,2050650
2025-08-11,2408,1827100
2025-08-12,2572,1890000
2025-08-13,2070,1557250
2025-08-14,2140,1580350
2025-08-15,1816,1420150
2025-08-16,1210,994100
2025-08-17,1043,864050
2025-08-18,1112,886850
2025-08-19,1042,837000
2025-08-20,855,685850
2025-08-21,885,680400
2025-08-22,939,735850
2025-08-23,934,775850
2025-08-24,852,713550
2025-08-25,896,727400
2025-08-26,596,487350
2025-08-27,434,396500
2025-08-28,364,328300
2025-08-29,373,343850
2025-08-30,277,282300
2025-08-31,136,131750
2025-09-01,76,73750
2025-09-02,45,35500
2025-09-03,35,40550
2025-09-04,25,23500
2025-09-05,77,67200
