date_visit,n_people,amount_fee
2024-10-01,0,0
2024-10-02,851,639250
2024-10-03,713,533800
2024-10-04,1529,1156800
2024-10-05,2157,1670350
2024-10-06,1869,1436850
2024-10-07,1148,899850
2024-10-08,587,464850
2024-10-09,0,0
2024-10-10,859,687050
2024-10-11,1167,901300
2024-10-12,3172,2380200
2024-10-13,4387,3187500
2024-10-14,2005,1506000
2024-10-15,985,756350
2024-10-16,700,535100
2024-10-17,523,393300
2024-10-18,815,666400
2024-10-19,1406,1094250
2024-10-20,1229,1028000
2024-10-21,771,591550
2024-10-22,536,427850
2024-10-23,0,0
2024-10-24,554,419250
2024-10-25,898,684500
2024-10-26,1288,1055300
2024-10-27,1093,856650
2024-10-28,677,550950
2024-10-29,429,331550
2024-10-30,301,200450
2024-10-31,297,223650
2024-11-01,568,482550
2024-11-02,1643,1257450
2024-11-03,2496,1806900
2024-11-04,1045,848200
2024-11-05,154,156300
2024-11-06,66,42600
2024-11-07,59,59700
2024-11-08,148,156500
2024-11-09,332,365900
2024-11-10,349,325100
2024-11-11,131,143800
2024-11-12,132,92500
2024-11-13,0,0
2024-11-14,101,73900
2024-11-15,216,225900
2024-11-16,423,363100
2024-11-17,278,292400
2024-11-18,121,118900
2024-11-19,49,39700
2024-11-20,18,13700
2024-11-21,78,65600
2024-11-22,167,177900
2024-11-23,317,344400
2024-11-24,260,261500
2024-11-25,46,48800
2024-11-26,11,10600
2024-11-27,0,0
2024-11-28,10,8800
2024-11-29,34,25200
2024-11-30,88,104300
