date_visit,n_people,amount_fee
2026-09-10,0,0
2026-09-11,2678,2018100
2026-09-12,3415,2633050
2026-09-13,2621,1940650
2026-09-14,1421,1157300
2026-09-15,855,651350
2026-09-16,584,507450
2026-09-17,880,696150
2026-09-18,1386,1078850
2026-09-19,4379,3266950
2026-09-20,10541,7474700
2026-09-21,10866,7746650
2026-09-22,7805,5608600
2026-09-23,2946,2233800
2026-09-24,0,0
2026-09-25,1448,1142750
2026-09-26,1542,1238200
2026-09-27,1367,1147000
2026-09-28,920,731850
2026-09-29,408,315650
2026-09-30,287,219350
2026-10-01,300,238650
2026-10-02,869,694650
2026-10-03,1052,905600
2026-10-04,770,654250
2026-10-05,563,432750
2026-10-06,291,222300
2026-10-07,244,187350
2026-10-08,328,299500
2026-10-09,729,620950
2026-10-10,1599,1310550
2026-10-11,1998,1534850
2026-10-12,1168,969600
2026-10-13,639,567650
2026-10-14,0,0
2026-10-15,323,269750
2026-10-16,607,464450
2026-10-17,917,770500
2026-10-18,814,675550
2026-10-19,539,423800
2026-10-20,280,216850
2026-10-21,138,96800
2026-10-22,237,180800
2026-10-23,522,413700
2026-10-24,857,712050
2026-10-25,522,452050
2026-10-26,354,267600
2026-10-27,147,131250
2026-10-28,0,0
2026-10-29,256,209700
2026-10-30,354,303450
2026-10-31,586,496850
2026-11-01,736,614900
2026-11-02,768,641350
2026-11-03,203,187950
2026-11-04,60,66700
2026-11-05,21,25500
2026-11-06,68,70800
2026-11-07,62,79900
2026-11-08,62,65400
2026-11-09,52,48100
