date_visit,n_people,amount_fee
2026-04-14,0,0
2026-04-15,362,291900
2026-04-16,308,265100
2026-04-17,601,472200
2026-04-18,1421,1173100
2026-04-19,1222,1040100
2026-04-20,556,484900
2026-04-21,372,310050
2026-04-22,0,0
2026-04-23,314,234500
2026-04-24,535,511450
2026-04-25,996,897200
2026-04-26,890,815000
2026-04-27,450,401650
2026-04-28,475,428500
2026-04-29,807,755400
2026-04-30,1059,912850
2026-05-01,1231,1043700
2026-05-02,2061,1611550
2026-05-03,3646,2802000
2026-05-04,3271,2558900
2026-05-05,2065,1652000
2026-05-06,808,738000
2026-05-07,360,354400
2026-05-08,241,213100
2026-05-09,591,559850
2026-05-10,427,391550
2026-05-11,188,141350
2026-05-12,111,89750
2026-05-13,0,0
2026-05-14,166,134250
2026-05-15,241,218650
2026-05-16,577,531300
2026-05-17,507,438700
2026-05-18,181,139200
2026-05-19,90,75900
2026-05-20,77,59200
2026-05-21,144,115550
2026-05-22,220,210400
2026-05-23,381,323400
2026-05-24,239,251600
2026-05-25,139,126450
2026-05-26,73,65550
2026-05-27,0,0
2026-05-28,102,101800
2026-05-29,154,143250
2026-05-30,246,257000
2026-05-31,214,214550
2026-06-01,90,76900
2026-06-02,13,15100
2026-06-03,38,37700
2026-06-04,19,23900
2026-06-05,66,67050
2026-06-06,172,144200
2026-06-07,100,104300
2026-06-08,31,27450
2026-06-09,12,10900
2026-06-10,0,0
2026-06-11,14,14000
2026-06-12,44,39100
2026-06-13,87,83750
