date_visit,n_people,amount_fee
2025-12-01,0,0
2025-12-02,307,244300
2025-12-03,191,137700
2025-12-04,217,169700
2025-12-05,292,266800
2025-12-06,788,716100
2025-12-07,688,638500
2025-12-08,233,272400
2025-12-09,139,125000
2025-12-10,0,0
2025-12-11,115,92600
2025-12-12,192,200600
2025-12-13,471,470400
2025-12-14,361,357400
2025-12-15,141,164000
2025-12-16,42,39200
2025-12-17,34,30600
2025-12-18,41,46400
2025-12-19,121,107500
2025-12-20,276,296600
2025-12-21,151,168400
2025-12-22,80,77100
2025-12-23,63,52900
2025-12-24,0,0
2025-12-25,154,169000
2025-12-26,234,249100
2025-12-27,356,380800
2025-12-28,564,501500
2025-12-29,737,668100
2025-12-30,749,664100
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,425,414300
2026-01-03,202,226500
2026-01-04,91,103800
2026-01-05,72,95800
2026-01-06,27,33000
2026-01-07,10,8000
2026-01-08,20,13000
2026-01-09,14,12900
2026-01-10,39,53500
2026-01-11,110,111300
2026-01-12,51,47500
2026-01-13,10,6800
2026-01-14,0,0
2026-01-15,6,11000
2026-01-16,12,8000
2026-01-17,13,18000
2026-01-18,38,26000
2026-01-19,5,6500
2026-01-20,9,4000
2026-01-21,3,3700
2026-01-22,0,0
2026-01-23,6,6000
2026-01-24,4,4700
2026-01-25,29,28600
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,4,5900
