date_visit,n_people,amount_fee
2026-01-11,0,0
2026-01-12,337,341900
2026-01-13,138,117400
2026-01-14,0,0
2026-01-15,95,89200
2026-01-16,80,81900
2026-01-17,276,288800
2026-01-18,214,203700
2026-01-19,90,107300
2026-01-20,72,47000
2026-01-21,30,28900
2026-01-22,22,17000
2026-01-23,76,59500
2026-01-24,176,183100
2026-01-25,252,247200
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,56,53500
2026-01-31,99,115700
2026-02-01,74,64000
2026-02-02,42,41900
2026-02-03,35,36600
2026-02-04,19,24900
2026-02-05,8,6300
2026-02-06,31,34500
2026-02-07,80,87700
2026-02-08,83,99200
2026-02-09,58,62800
2026-02-10,34,25600
2026-02-11,70,67100
2026-02-12,0,0
2026-02-13,44,40300
2026-02-14,54,36300
2026-02-15,53,53800
2026-02-16,30,37500
2026-02-17,12,10300
2026-02-18,7,4000
2026-02-19,16,12000
2026-02-20,29,29700
2026-02-21,94,124600
2026-02-22,175,196100
2026-02-23,71,80700
2026-02-24,31,34700
2026-02-25,0,0
2026-02-26,17,9200
2026-02-27,24,18600
2026-02-28,69,44200
2026-03-01,20,10100
2026-03-02,15,18300
2026-03-03,11,13100
2026-03-04,8,5500
2026-03-05,28,32300
2026-03-06,24,22300
2026-03-07,31,24300
2026-03-08,61,37400
2026-03-09,14,13600
2026-03-10,10,9900
2026-03-11,0,0
2026-03-12,12,11500
