date_visit,n_people,amount_fee
2024-08-20,4192,2747100
2024-08-21,3913,2704100
2024-08-22,2907,1954750
2024-08-23,3205,2210750
2024-08-24,3401,2428950
2024-08-25,2972,2028800
2024-08-26,2705,1849950
2024-08-27,1787,1248650
2024-08-28,1317,996500
2024-08-29,1157,890500
2024-08-30,1509,1077550
2024-08-31,1431,1101550
2024-09-01,1023,822250
2024-09-02,514,435300
2024-09-03,283,217650
2024-09-04,281,211350
2024-09-05,367,285950
2024-09-06,665,505450
2024-09-07,1054,883700
2024-09-08,991,805550
2024-09-09,506,385350
2024-09-10,361,289950
2024-09-11,0,0
2024-09-12,459,374600
2024-09-13,682,543350
2024-09-14,1763,1359050
2024-09-15,2217,1628950
2024-09-16,994,813800
2024-09-17,336,279350
2024-09-18,179,139850
2024-09-19,251,187600
2024-09-20,354,268450
2024-09-21,1202,942700
2024-09-22,1862,1331050
2024-09-23,622,578050
2024-09-24,409,336000
2024-09-25,0,0
2024-09-26,289,244750
2024-09-27,342,242100
2024-09-28,645,559050
2024-09-29,649,537600
2024-09-30,198,179400
2024-10-01,62,41650
2024-10-02,82,63000
2024-10-03,43,33500
2024-10-04,228,184650
2024-10-05,549,519550
2024-10-06,538,432600
2024-10-07,145,121100
2024-10-08,49,40300
2024-10-09,0,0
2024-10-10,87,65750
2024-10-11,267,212500
2024-10-12,890,775500
2024-10-13,1236,1009850
2024-10-14,585,538350
2024-10-15,174,167700
2024-10-16,102,74850
2024-10-17,18,16700
2024-10-18,57,44400
2024-10-19,0,0
