date_visit,n_people,amount_fee
2025-01-25,0,0
2025-01-26,731,607700
2025-01-27,193,197300
2025-01-28,118,118000
2025-01-29,70,63000
2025-01-30,77,72900
2025-01-31,100,97100
2025-02-01,213,225500
2025-02-02,169,166200
2025-02-03,53,47700
2025-02-04,44,54400
2025-02-05,50,47800
2025-02-06,54,59700
2025-02-07,70,48800
2025-02-08,187,217800
2025-02-09,283,290900
2025-02-10,207,202900
2025-02-11,102,100100
2025-02-12,0,0
2025-02-13,31,23100
2025-02-14,47,63200
2025-02-15,55,60800
2025-02-16,124,99300
2025-02-17,30,33400
2025-02-18,42,35400
2025-02-19,39,40700
2025-02-20,53,28300
2025-02-21,54,58200
2025-02-22,278,340900
2025-02-23,478,446000
2025-02-24,123,126400
2025-02-25,27,28500
2025-02-26,0,0
2025-02-27,16,17600
2025-02-28,39,35000
2025-03-01,87,68300
2025-03-02,59,61300
2025-03-03,30,28600
2025-03-04,23,19500
2025-03-05,6,6700
2025-03-06,23,21800
2025-03-07,44,34100
2025-03-08,102,113900
2025-03-09,115,146900
2025-03-10,30,25300
2025-03-11,22,15500
2025-03-12,0,0
2025-03-13,28,25600
2025-03-14,45,50300
2025-03-15,142,117300
2025-03-16,107,98000
2025-03-17,36,30100
2025-03-18,53,49300
2025-03-19,37,38400
2025-03-20,82,94500
2025-03-21,225,245400
2025-03-22,98,112000
2025-03-23,107,118800
2025-03-24,46,44000
2025-03-25,41,48600
2025-03-26,27,22900
