date_visit,n_people,amount_fee
2025-05-06,7737,4879950
2025-05-07,791,575300
2025-05-08,483,327200
2025-05-09,684,504200
2025-05-10,2340,1582350
2025-05-11,1828,1268600
2025-05-12,703,513450
2025-05-13,461,335000
2025-05-14,0,0
2025-05-15,437,304550
2025-05-16,706,520850
2025-05-17,2197,1541800
2025-05-18,1451,1058950
2025-05-19,787,609700
2025-05-20,339,231200
2025-05-21,251,199800
2025-05-22,340,256850
2025-05-23,626,492950
2025-05-24,1432,1085500
2025-05-25,1198,902450
2025-05-26,339,274650
2025-05-27,152,120200
2025-05-28,0,0
2025-05-29,176,140500
2025-05-30,202,173700
2025-05-31,528,492700
2025-06-01,414,383100
2025-06-02,205,187100
2025-06-03,58,51850
2025-06-04,77,54050
2025-06-05,70,59250
2025-06-06,175,147600
2025-06-07,283,256100
2025-06-08,277,259150
2025-06-09,94,81350
2025-06-10,48,36750
2025-06-11,0,0
2025-06-12,43,37200
2025-06-13,117,112600
2025-06-14,227,215750
2025-06-15,216,202950
2025-06-16,107,90850
2025-06-17,36,35550
2025-06-18,46,45600
2025-06-19,27,22700
2025-06-20,59,39850
2025-06-21,144,125000
2025-06-22,122,120650
2025-06-23,78,61350
2025-06-24,8,5400
2025-06-25,0,0
2025-06-26,41,48300
2025-06-27,72,58750
2025-06-28,171,150350
2025-06-29,68,63950
2025-06-30,18,19300
2025-07-01,2,2000
2025-07-02,0,0
2025-07-03,12,4900
2025-07-04,28,26400
2025-07-05,0,0
