date_visit,n_people,amount_fee
2025-10-27,2227,1639900
2025-10-28,959,717800
2025-10-29,1008,769350
2025-10-30,1033,780650
2025-10-31,1731,1310550
2025-11-01,4043,2979200
2025-11-02,6044,4397400
2025-11-03,2578,1975800
2025-11-04,415,384500
2025-11-05,198,195900
2025-11-06,187,178500
2025-11-07,486,404300
2025-11-08,795,654900
2025-11-09,719,633800
2025-11-10,452,381700
2025-11-11,370,319400
2025-11-12,0,0
2025-11-13,350,247700
2025-11-14,524,426000
2025-11-15,682,600500
2025-11-16,561,513400
2025-11-17,393,371800
2025-11-18,165,155400
2025-11-19,187,164700
2025-11-20,167,189700
2025-11-21,360,352500
2025-11-22,957,801100
2025-11-23,1329,1045900
2025-11-24,674,547700
2025-11-25,304,277600
2025-11-26,0,0
2025-11-27,121,115500
2025-11-28,101,106000
2025-11-29,350,369800
2025-11-30,265,284400
2025-12-01,60,64900
2025-12-02,37,22500
2025-12-03,45,22300
2025-12-04,11,12400
2025-12-05,20,17000
2025-12-06,134,119500
2025-12-07,122,153800
2025-12-08,25,33500
2025-12-09,34,30800
2025-12-10,0,0
2025-12-11,17,14500
2025-12-12,18,29000
2025-12-13,65,90200
2025-12-14,47,58300
2025-12-15,31,34000
2025-12-16,2,1000
2025-12-17,6,7400
2025-12-18,7,7500
2025-12-19,33,24800
2025-12-20,56,74600
2025-12-21,12,26400
2025-12-22,21,15900
2025-12-23,6,6300
2025-12-24,0,0
2025-12-25,8,4300
2025-12-26,0,0
