date_visit,n_people,amount_fee
2025-11-10,55,20800
2025-11-11,759,638600
2025-11-12,0,0
2025-11-13,647,491400
2025-11-14,1027,777200
2025-11-15,1353,1075400
2025-11-16,1114,925400
2025-11-17,709,606100
2025-11-18,340,317400
2025-11-19,302,262300
2025-11-20,286,297600
2025-11-21,715,614400
2025-11-22,1521,1232000
2025-11-23,2402,1836500
2025-11-24,1092,855400
2025-11-25,492,402000
2025-11-26,0,0
2025-11-27,207,186600
2025-11-28,234,239000
2025-11-29,582,541200
2025-11-30,483,441600
2025-12-01,155,155200
2025-12-02,67,49600
2025-12-03,70,48400
2025-12-04,61,46300
2025-12-05,74,56600
2025-12-06,299,278900
2025-12-07,284,304600
2025-12-08,56,74200
2025-12-09,51,42700
2025-12-10,0,0
2025-12-11,32,24600
2025-12-12,83,88200
2025-12-13,132,163900
2025-12-14,127,124900
2025-12-15,40,45500
2025-12-16,17,16400
2025-12-17,11,11600
2025-12-18,19,20600
2025-12-19,54,51500
2025-12-20,124,120900
2025-12-21,34,51100
2025-12-22,44,42700
2025-12-23,12,14900
2025-12-24,0,0
2025-12-25,68,77700
2025-12-26,86,91600
2025-12-27,151,195000
2025-12-28,234,263000
2025-12-29,358,386100
2025-12-30,312,345600
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,153,161600
2026-01-03,66,81800
2026-01-04,29,31900
2026-01-05,16,23100
2026-01-06,7,11000
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
