date_visit,n_people,amount_fee
2026-03-03,378,311500
2026-03-04,186,202000
2026-03-05,210,199800
2026-03-06,273,248300
2026-03-07,749,657900
2026-03-08,548,480400
2026-03-09,305,308900
2026-03-10,227,227000
2026-03-11,0,0
2026-03-12,259,273600
2026-03-13,325,310100
2026-03-14,629,576500
2026-03-15,620,568700
2026-03-16,266,261700
2026-03-17,168,160700
2026-03-18,190,177800
2026-03-19,413,372000
2026-03-20,1064,789400
2026-03-21,1236,971200
2026-03-22,590,512400
2026-03-23,354,315700
2026-03-24,198,216100
2026-03-25,273,268000
2026-03-26,458,342800
2026-03-27,741,559800
2026-03-28,824,650300
2026-03-29,592,489100
2026-03-30,581,461800
2026-03-31,356,301600
2026-04-01,194,183300
2026-04-02,211,196200
2026-04-03,288,264500
2026-04-04,394,364000
2026-04-05,246,254700
2026-04-06,125,131800
2026-04-07,61,54000
2026-04-08,0,0
2026-04-09,51,48000
2026-04-10,59,61400
2026-04-11,133,131000
2026-04-12,135,121400
2026-04-13,68,49800
2026-04-14,39,30900
2026-04-15,46,45200
2026-04-16,31,25100
2026-04-17,108,102200
2026-04-18,394,361250
2026-04-19,218,193000
2026-04-20,142,127750
2026-04-21,64,54150
2026-04-22,0,0
2026-04-23,45,36850
2026-04-24,118,130950
2026-04-25,251,258150
2026-04-26,163,158200
2026-04-27,55,47650
2026-04-28,70,55700
2026-04-29,87,98900
2026-04-30,241,210000
2026-05-01,230,218300
2026-05-02,0,0
