date_visit,n_people,amount_fee
2025-01-01,0,0
2025-01-02,1550,1241300
2025-01-03,1075,884000
2025-01-04,566,492900
2025-01-05,326,334100
2025-01-06,192,177400
2025-01-07,92,102800
2025-01-08,0,0
2025-01-09,68,64000
2025-01-10,40,47600
2025-01-11,290,280000
2025-01-12,312,340100
2025-01-13,174,195500
2025-01-14,35,33400
2025-01-15,20,14100
2025-01-16,28,24300
2025-01-17,88,59300
2025-01-18,113,115300
2025-01-19,147,123500
2025-01-20,0,0
2025-01-21,0,0
2025-01-22,0,0
2025-01-23,0,0
2025-01-24,0,0
2025-01-25,138,115800
2025-01-26,82,63000
2025-01-27,21,23100
2025-01-28,18,17600
2025-01-29,28,25200
2025-01-30,27,21500
2025-01-31,39,34100
2025-02-01,43,32900
2025-02-02,37,40500
2025-02-03,12,7900
2025-02-04,0,0
2025-02-05,9,8600
2025-02-06,21,29700
2025-02-07,9,6000
2025-02-08,35,45600
2025-02-09,81,77900
2025-02-10,32,28200
2025-02-11,17,14600
2025-02-12,0,0
2025-02-13,2,1800
2025-02-14,10,18500
2025-02-15,6,5500
2025-02-16,55,37800
2025-02-17,6,5500
2025-02-18,20,6500
2025-02-19,7,8000
2025-02-20,1,1000
2025-02-21,14,14000
2025-02-22,61,66900
2025-02-23,65,69000
2025-02-24,19,16600
2025-02-25,4,3500
2025-02-26,0,0
2025-02-27,1,800
2025-02-28,13,8500
2025-03-01,0,0
2025-03-02,0,0
