date_visit,n_people,amount_fee
2024-10-07,2069,1462100
2024-10-08,898,701850
2024-10-09,0,0
2024-10-10,1114,863000
2024-10-11,1540,1155450
2024-10-12,4087,3011700
2024-10-13,5698,4127200
2024-10-14,2511,1842800
2024-10-15,1227,911550
2024-10-16,804,611350
2024-10-17,665,510200
2024-10-18,1001,813900
2024-10-19,1773,1361850
2024-10-20,1543,1242750
2024-10-21,916,697650
2024-10-22,639,507600
2024-10-23,0,0
2024-10-24,663,512750
2024-10-25,1120,849950
2024-10-26,1519,1212350
2024-10-27,1237,965950
2024-10-28,809,637650
2024-10-29,587,452300
2024-10-30,366,245650
2024-10-31,411,312200
2024-11-01,662,553450
2024-11-02,2029,1537150
2024-11-03,3054,2162900
2024-11-04,1270,988250
2024-11-05,191,196700
2024-11-06,88,56600
2024-11-07,80,79900
2024-11-08,184,192200
2024-11-09,387,403400
2024-11-10,393,361400
2024-11-11,177,189200
2024-11-12,152,111600
2024-11-13,0,0
2024-11-14,128,86900
2024-11-15,291,288900
2024-11-16,484,418800
2024-11-17,336,341100
2024-11-18,155,153400
2024-11-19,84,65700
2024-11-20,33,20700
2024-11-21,120,97300
2024-11-22,232,236100
2024-11-23,374,386900
2024-11-24,305,311200
2024-11-25,87,82900
2024-11-26,28,27900
2024-11-27,0,0
2024-11-28,28,19800
2024-11-29,56,50200
2024-11-30,187,206200
2024-12-01,97,123500
2024-12-02,7,7900
2024-12-03,7,5000
2024-12-04,7,6000
2024-12-05,0,0
2024-12-06,0,0
