date_visit,n_people,amount_fee
2026-08-31,0,0
2026-09-01,698,579800
2026-09-02,770,638800
2026-09-03,813,678600
2026-09-04,1319,1056950
2026-09-05,2326,1760350
2026-09-06,1528,1262600
2026-09-07,1110,911000
2026-09-08,962,796400
2026-09-09,0,0
2026-09-10,896,717150
2026-09-11,1119,957000
2026-09-12,1751,1372450
2026-09-13,1505,1191000
2026-09-14,770,632450
2026-09-15,520,390000
2026-09-16,345,294500
2026-09-17,569,451200
2026-09-18,956,766650
2026-09-19,2906,2186300
2026-09-20,7090,5099750
2026-09-21,7601,5415550
2026-09-22,4883,3573250
2026-09-23,1702,1350600
2026-09-24,0,0
2026-09-25,1063,862950
2026-09-26,922,764550
2026-09-27,955,825950
2026-09-28,577,462250
2026-09-29,240,191400
2026-09-30,152,106850
2026-10-01,182,139300
2026-10-02,563,448150
2026-10-03,649,533800
2026-10-04,570,474650
2026-10-05,343,263950
2026-10-06,182,138900
2026-10-07,136,115350
2026-10-08,202,197600
2026-10-09,453,404900
2026-10-10,1173,996550
2026-10-11,1449,1142450
2026-10-12,868,753450
2026-10-13,526,474350
2026-10-14,0,0
2026-10-15,183,155300
2026-10-16,393,298700
2026-10-17,690,562350
2026-10-18,587,501300
2026-10-19,386,305000
2026-10-20,162,131850
2026-10-21,85,58600
2026-10-22,190,150950
2026-10-23,363,295950
2026-10-24,526,454700
2026-10-25,334,292350
2026-10-26,204,157650
2026-10-27,77,63100
2026-10-28,0,0
2026-10-29,133,110450
2026-10-30,138,115700
