date_visit,n_people,amount_fee
2025-03-13,1033,736300
2025-03-14,916,670500
2025-03-15,2392,1600700
2025-03-16,1969,1357500
2025-03-17,816,577900
2025-03-18,561,457600
2025-03-19,802,582400
2025-03-20,1527,1012400
2025-03-21,2061,1358600
2025-03-22,1988,1305700
2025-03-23,1346,923500
2025-03-24,637,468300
2025-03-25,703,501200
2025-03-26,997,626400
2025-03-27,1457,872800
2025-03-28,1861,1167200
2025-03-29,2109,1363600
2025-03-30,1401,921400
2025-03-31,1230,780700
2025-04-01,651,430000
2025-04-02,558,422900
2025-04-03,587,386500
2025-04-04,677,464300
2025-04-05,934,683200
2025-04-06,671,500500
2025-04-07,194,160600
2025-04-08,124,75400
2025-04-09,0,0
2025-04-10,116,89200
2025-04-11,198,143600
2025-04-12,539,371000
2025-04-13,307,256100
2025-04-14,130,93900
2025-04-15,112,81700
2025-04-16,71,64100
2025-04-17,77,65400
2025-04-18,260,214100
2025-04-19,807,669100
2025-04-20,673,564900
2025-04-21,202,147400
2025-04-22,117,104550
2025-04-23,0,0
2025-04-24,136,94400
2025-04-25,169,140200
2025-04-26,903,700850
2025-04-27,936,720000
2025-04-28,819,655250
2025-04-29,401,359250
2025-04-30,361,276800
2025-05-01,403,277900
2025-05-02,570,431150
2025-05-03,1545,1113950
2025-05-04,2563,1736350
2025-05-05,1225,908300
2025-05-06,489,458650
2025-05-07,33,22450
2025-05-08,34,20900
2025-05-09,56,58550
2025-05-10,249,196600
2025-05-11,176,120700
2025-05-12,0,0
