date_visit,n_people,amount_fee
2026-08-16,0,0
2026-08-17,7982,5483450
2026-08-18,4643,3209600
2026-08-19,3676,2570600
2026-08-20,3388,2364550
2026-08-21,3925,2805150
2026-08-22,3582,2633850
2026-08-23,3298,2407200
2026-08-24,3094,2200450
2026-08-25,1836,1344200
2026-08-26,1766,1312550
2026-08-27,1615,1213350
2026-08-28,1784,1332250
2026-08-29,1924,1463650
2026-08-30,1509,1177900
2026-08-31,728,599100
2026-09-01,214,188300
2026-09-02,300,245250
2026-09-03,354,296700
2026-09-04,745,585750
2026-09-05,1196,924100
2026-09-06,656,603000
2026-09-07,644,511600
2026-09-08,437,355800
2026-09-09,0,0
2026-09-10,504,410950
2026-09-11,712,620850
2026-09-12,1180,960900
2026-09-13,869,726400
2026-09-14,441,354900
2026-09-15,209,161000
2026-09-16,163,133400
2026-09-17,237,188750
2026-09-18,471,361500
2026-09-19,1688,1296250
2026-09-20,3986,2924650
2026-09-21,4210,3006300
2026-09-22,2593,1943500
2026-09-23,1018,866300
2026-09-24,0,0
2026-09-25,625,497950
2026-09-26,517,447900
2026-09-27,515,452200
2026-09-28,339,264950
2026-09-29,112,94550
2026-09-30,90,62900
2026-10-01,77,59800
2026-10-02,356,292200
2026-10-03,309,241200
2026-10-04,360,290350
2026-10-05,156,133450
2026-10-06,100,63400
2026-10-07,84,67050
2026-10-08,97,98100
2026-10-09,243,208700
2026-10-10,735,646700
2026-10-11,1065,868600
2026-10-12,519,450750
2026-10-13,233,215200
2026-10-14,0,0
2026-10-15,58,72650
