date_visit,n_people,amount_fee
2025-08-16,0,0
2025-08-17,6239,4422250
2025-08-18,5253,3640650
2025-08-19,3410,2414800
2025-08-20,2918,2052350
2025-08-21,2512,1757700
2025-08-22,2870,2009200
2025-08-23,3161,2323150
2025-08-24,2757,1990500
2025-08-25,2391,1697700
2025-08-26,1685,1222600
2025-08-27,1312,1002350
2025-08-28,1193,901800
2025-08-29,1191,918750
2025-08-30,1333,1051050
2025-08-31,1168,912700
2025-09-01,341,286800
2025-09-02,193,143800
2025-09-03,324,278750
2025-09-04,259,202900
2025-09-05,511,415950
2025-09-06,729,655350
2025-09-07,608,504150
2025-09-08,456,367500
2025-09-09,275,216950
2025-09-10,0,0
2025-09-11,305,254050
2025-09-12,448,389150
2025-09-13,1285,1037200
2025-09-14,1824,1393000
2025-09-15,861,725950
2025-09-16,196,136400
2025-09-17,166,126400
2025-09-18,207,186600
2025-09-19,300,232450
2025-09-20,656,552200
2025-09-21,871,743800
2025-09-22,817,668150
2025-09-23,376,314800
2025-09-24,0,0
2025-09-25,270,201650
2025-09-26,260,208800
2025-09-27,455,395150
2025-09-28,387,315850
2025-09-29,212,183300
2025-09-30,80,65900
2025-10-01,76,50250
2025-10-02,130,108200
2025-10-03,161,128600
2025-10-04,328,280550
2025-10-05,237,179450
2025-10-06,79,71650
2025-10-07,104,70150
2025-10-08,0,0
2025-10-09,106,87050
2025-10-10,131,108700
2025-10-11,766,656950
2025-10-12,961,795100
2025-10-13,336,341150
2025-10-14,86,76650
2025-10-15,32,23400
