date_visit,n_people,amount_fee
2025-07-27,0,0
2025-07-28,4910,3284950
2025-07-29,3477,2351000
2025-07-30,2943,2040400
2025-07-31,2830,1962000
2025-08-01,3006,2083600
2025-08-02,3900,2775000
2025-08-03,3305,2374050
2025-08-04,3788,2647600
2025-08-05,2429,1758050
2025-08-06,2038,1429200
2025-08-07,2418,1737100
2025-08-08,2944,2093750
2025-08-09,3898,2822500
2025-08-10,5090,3673600
2025-08-11,4673,3406650
2025-08-12,5138,3683600
2025-08-13,4037,2966850
2025-08-14,4066,2919650
2025-08-15,3479,2592800
2025-08-16,2217,1702900
2025-08-17,1730,1333500
2025-08-18,1917,1413700
2025-08-19,1679,1261500
2025-08-20,1438,1061350
2025-08-21,1452,1064300
2025-08-22,1575,1160850
2025-08-23,1616,1244200
2025-08-24,1393,1092500
2025-08-25,1372,1023150
2025-08-26,1015,770100
2025-08-27,795,655850
2025-08-28,751,605150
2025-08-29,640,547700
2025-08-30,667,580100
2025-08-31,501,434900
2025-09-01,154,139350
2025-09-02,75,58200
2025-09-03,115,112350
2025-09-04,77,62650
2025-09-05,267,215250
2025-09-06,329,320550
2025-09-07,275,230700
2025-09-08,189,156450
2025-09-09,81,72800
2025-09-10,0,0
2025-09-11,121,109550
2025-09-12,208,196550
2025-09-13,686,574750
2025-09-14,1025,844000
2025-09-15,373,305050
2025-09-16,42,20600
2025-09-17,56,44000
2025-09-18,80,73000
2025-09-19,145,101850
2025-09-20,282,264300
2025-09-21,426,387750
2025-09-22,311,279150
2025-09-23,77,63200
2025-09-24,0,0
2025-09-25,56,43650
