date_visit,n_people,amount_fee
2026-05-21,0,0
2026-05-22,1037,868700
2026-05-23,2002,1614050
2026-05-24,1459,1192950
2026-05-25,741,621650
2026-05-26,362,343200
2026-05-27,0,0
2026-05-28,421,350050
2026-05-29,580,517050
2026-05-30,1098,958850
2026-05-31,785,714250
2026-06-01,409,401300
2026-06-02,109,95150
2026-06-03,148,135600
2026-06-04,134,126000
2026-06-05,378,369750
2026-06-06,835,764550
2026-06-07,540,483400
2026-06-08,358,318250
2026-06-09,152,147150
2026-06-10,0,0
2026-06-11,174,164750
2026-06-12,282,244250
2026-06-13,620,569450
2026-06-14,561,537600
2026-06-15,297,261050
2026-06-16,131,112850
2026-06-17,66,65200
2026-06-18,104,84000
2026-06-19,240,201400
2026-06-20,516,514750
2026-06-21,270,267800
2026-06-22,216,163850
2026-06-23,82,72950
2026-06-24,0,0
2026-06-25,87,81650
2026-06-26,169,183000
2026-06-27,372,378000
2026-06-28,201,192750
2026-06-29,135,126100
2026-06-30,35,28700
2026-07-01,40,32500
2026-07-02,58,62350
2026-07-03,98,75400
2026-07-04,206,199250
2026-07-05,139,131650
2026-07-06,73,71700
2026-07-07,57,44150
2026-07-08,0,0
2026-07-09,106,91900
2026-07-10,222,176500
2026-07-11,406,323700
2026-07-12,197,181350
2026-07-13,113,108250
2026-07-14,75,71550
2026-07-15,70,44900
2026-07-16,108,87150
2026-07-17,138,114800
2026-07-18,668,579950
2026-07-19,933,771450
2026-07-20,362,352750
