date_visit,n_people,amount_fee
2025-09-07,0,0
2025-09-08,2031,1601000
2025-09-09,1202,971250
2025-09-10,0,0
2025-09-11,1042,862150
2025-09-12,1133,943900
2025-09-13,3584,2676600
2025-09-14,4858,3513750
2025-09-15,1970,1566700
2025-09-16,769,636450
2025-09-17,449,365100
2025-09-18,535,433950
2025-09-19,811,656800
2025-09-20,2024,1511100
2025-09-21,2023,1530500
2025-09-22,1948,1479250
2025-09-23,1161,941750
2025-09-24,0,0
2025-09-25,661,491000
2025-09-26,631,515900
2025-09-27,1300,1039050
2025-09-28,952,769950
2025-09-29,480,385800
2025-09-30,271,229950
2025-10-01,190,153000
2025-10-02,273,227400
2025-10-03,459,360350
2025-10-04,934,798750
2025-10-05,772,625100
2025-10-06,313,258500
2025-10-07,277,186350
2025-10-08,0,0
2025-10-09,253,219050
2025-10-10,486,382750
2025-10-11,1424,1121850
2025-10-12,1958,1490250
2025-10-13,860,754050
2025-10-14,421,338250
2025-10-15,176,144500
2025-10-16,150,100900
2025-10-17,386,289950
2025-10-18,635,553700
2025-10-19,471,383900
2025-10-20,325,242700
2025-10-21,230,147550
2025-10-22,0,0
2025-10-23,258,172550
2025-10-24,321,259000
2025-10-25,666,582750
2025-10-26,486,420750
2025-10-27,245,192850
2025-10-28,119,87200
2025-10-29,157,118850
2025-10-30,154,109250
2025-10-31,279,196350
2025-11-01,859,738500
2025-11-02,1143,923900
2025-11-03,614,564700
2025-11-04,43,29200
2025-11-05,5,6400
2025-11-06,10,8400
