date_visit,n_people,amount_fee
2025-10-08,0,0
2025-10-09,1141,936000
2025-10-10,1735,1326350
2025-10-11,4584,3379550
2025-10-12,6803,4897850
2025-10-13,2602,1962250
2025-10-14,1307,973250
2025-10-15,804,638750
2025-10-16,650,502550
2025-10-17,1137,847900
2025-10-18,1988,1529450
2025-10-19,1669,1293650
2025-10-20,1122,876150
2025-10-21,803,586450
2025-10-22,0,0
2025-10-23,660,495000
2025-10-24,1162,904250
2025-10-25,1708,1409750
2025-10-26,1389,1138700
2025-10-27,867,693250
2025-10-28,379,281150
2025-10-29,481,371550
2025-10-30,504,385850
2025-10-31,884,689200
2025-11-01,2037,1564550
2025-11-02,2931,2189850
2025-11-03,1343,1100350
2025-11-04,185,196200
2025-11-05,68,69500
2025-11-06,85,71700
2025-11-07,212,169700
2025-11-08,388,356600
2025-11-09,349,344300
2025-11-10,237,196500
2025-11-11,136,122400
2025-11-12,0,0
2025-11-13,141,95000
2025-11-14,257,241200
2025-11-15,314,320700
2025-11-16,251,270200
2025-11-17,145,148300
2025-11-18,101,90200
2025-11-19,88,79600
2025-11-20,48,51200
2025-11-21,178,188300
2025-11-22,432,409500
2025-11-23,718,618200
2025-11-24,349,336400
2025-11-25,134,136200
2025-11-26,0,0
2025-11-27,77,78400
2025-11-28,36,36000
2025-11-29,171,194700
2025-11-30,123,142500
2025-12-01,15,14600
2025-12-02,16,11000
2025-12-03,5,4000
2025-12-04,2,4400
2025-12-05,2,2000
2025-12-06,46,45500
2025-12-07,0,0
