date_visit,n_people,amount_fee
2023-12-06,0,0
2023-12-07,209,165600
2023-12-08,408,345700
2023-12-09,944,777700
2023-12-10,744,622000
2023-12-11,216,227000
2023-12-12,113,108800
2023-12-13,0,0
2023-12-14,93,102200
2023-12-15,151,133700
2023-12-16,476,418300
2023-12-17,431,408300
2023-12-18,93,82500
2023-12-19,47,53300
2023-12-20,58,55100
2023-12-21,48,46100
2023-12-22,65,67100
2023-12-23,305,288900
2023-12-24,262,251400
2023-12-25,208,207800
2023-12-26,271,260600
2023-12-27,0,0
2023-12-28,451,384200
2023-12-29,637,556900
2023-12-30,987,790100
2023-12-31,0,0
2024-01-01,0,0
2024-01-02,549,465300
2024-01-03,278,295900
2024-01-04,220,216900
2024-01-05,155,156400
2024-01-06,187,202100
2024-01-07,178,175500
2024-01-08,40,45700
2024-01-09,27,25000
2024-01-10,0,0
2024-01-11,24,19500
2024-01-12,14,16800
2024-01-13,32,38200
2024-01-14,50,42000
2024-01-15,2,4400
2024-01-16,5,3000
2024-01-17,11,11400
2024-01-18,2,1500
2024-01-19,5,5000
2024-01-20,37,22700
2024-01-21,14,9200
2024-01-22,11,12400
2024-01-23,9,6000
2024-01-24,0,0
2024-01-25,13,15900
2024-01-26,5,2500
2024-01-27,36,36800
2024-01-28,33,44200
2024-01-29,12,13600
2024-01-30,0,0
2024-01-31,6,4000
2024-02-01,2,2000
2024-02-02,11,11500
2024-02-03,5,0
2024-02-04,6,7500
