date_visit,n_people,amount_fee
2024-06-26,0,0
2024-06-27,530,425950
2024-06-28,704,602200
2024-06-29,1540,1164900
2024-06-30,1282,952200
2024-07-01,402,356450
2024-07-02,196,157450
2024-07-03,169,135400
2024-07-04,226,173550
2024-07-05,452,340700
2024-07-06,1007,853050
2024-07-07,815,701800
2024-07-08,320,271000
2024-07-09,242,179050
2024-07-10,0,0
2024-07-11,270,236900
2024-07-12,938,718050
2024-07-13,2482,1847750
2024-07-14,3366,2390000
2024-07-15,1377,1075600
2024-07-16,553,432450
2024-07-17,473,358400
2024-07-18,443,335600
2024-07-19,474,374250
2024-07-20,1507,1151100
2024-07-21,1528,1128400
2024-07-22,1480,1068650
2024-07-23,1173,899300
2024-07-24,1135,857250
2024-07-25,1453,1055600
2024-07-26,1657,1206100
2024-07-27,1866,1374550
2024-07-28,1552,1169550
2024-07-29,1817,1295850
2024-07-30,1418,1026450
2024-07-31,1319,933500
2024-08-01,1215,888650
2024-08-02,1458,1091850
2024-08-03,1503,1149150
2024-08-04,1111,879650
2024-08-05,1442,1151150
2024-08-06,1247,942550
2024-08-07,1370,1079250
2024-08-08,1293,951350
2024-08-09,1566,1137850
2024-08-10,1491,1165250
2024-08-11,2360,1757800
2024-08-12,2130,1600800
2024-08-13,1882,1398450
2024-08-14,1654,1224550
2024-08-15,1224,966000
2024-08-16,1161,921450
2024-08-17,895,755150
2024-08-18,931,780950
2024-08-19,840,737950
2024-08-20,823,656450
2024-08-21,680,582900
2024-08-22,533,471450
2024-08-23,614,542150
2024-08-24,554,501350
2024-08-25,0,0
