date_visit,n_people,amount_fee
2025-11-16,0,0
2025-11-17,1403,1063900
2025-11-18,590,536200
2025-11-19,446,363000
2025-11-20,452,441500
2025-11-21,1047,864400
2025-11-22,2183,1726100
2025-11-23,3306,2519200
2025-11-24,1485,1133000
2025-11-25,659,529000
2025-11-26,0,0
2025-11-27,273,232200
2025-11-28,325,314500
2025-11-29,798,677700
2025-11-30,610,515600
2025-12-01,251,233900
2025-12-02,109,86800
2025-12-03,83,62300
2025-12-04,82,59000
2025-12-05,97,85400
2025-12-06,436,396400
2025-12-07,373,394600
2025-12-08,98,127300
2025-12-09,70,70600
2025-12-10,0,0
2025-12-11,45,32900
2025-12-12,114,122900
2025-12-13,245,277600
2025-12-14,149,147400
2025-12-15,76,98100
2025-12-16,21,20400
2025-12-17,11,11600
2025-12-18,22,22600
2025-12-19,57,53500
2025-12-20,165,170800
2025-12-21,57,70400
2025-12-22,48,46700
2025-12-23,18,23300
2025-12-24,0,0
2025-12-25,80,93000
2025-12-26,126,135700
2025-12-27,217,267200
2025-12-28,299,317200
2025-12-29,425,435900
2025-12-30,410,411200
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,255,263200
2026-01-03,90,110800
2026-01-04,40,42700
2026-01-05,27,37500
2026-01-06,8,12800
2026-01-07,6,5500
2026-01-08,7,4500
2026-01-09,2,4400
2026-01-10,22,27700
2026-01-11,31,29800
2026-01-12,26,17500
2026-01-13,7,4800
2026-01-14,0,0
2026-01-15,0,0
