date_visit,n_people,amount_fee
2024-07-07,1848,1373550
2024-07-08,644,544800
2024-07-09,448,340200
2024-07-10,0,0
2024-07-11,559,470250
2024-07-12,1435,1072850
2024-07-13,3812,2811750
2024-07-14,5109,3552950
2024-07-15,2060,1572200
2024-07-16,929,720250
2024-07-17,626,481200
2024-07-18,632,492700
2024-07-19,738,596250
2024-07-20,2101,1566150
2024-07-21,2033,1456900
2024-07-22,1983,1377450
2024-07-23,1551,1121350
2024-07-24,1510,1092300
2024-07-25,1746,1247700
2024-07-26,2309,1625150
2024-07-27,2487,1784000
2024-07-28,2157,1579350
2024-07-29,2526,1746450
2024-07-30,1893,1331650
2024-07-31,1727,1181000
2024-08-01,1731,1219050
2024-08-02,1928,1393600
2024-08-03,2055,1508800
2024-08-04,1490,1114550
2024-08-05,1931,1477250
2024-08-06,1516,1109550
2024-08-07,1781,1345350
2024-08-08,1641,1165150
2024-08-09,2044,1425550
2024-08-10,1956,1454050
2024-08-11,2916,2124000
2024-08-12,2836,2086700
2024-08-13,2506,1811600
2024-08-14,2212,1578400
2024-08-15,1597,1225750
2024-08-16,1663,1238400
2024-08-17,1150,925900
2024-08-18,1243,990650
2024-08-19,1171,929600
2024-08-20,1080,780350
2024-08-21,914,714000
2024-08-22,695,569200
2024-08-23,917,737150
2024-08-24,934,736750
2024-08-25,871,667250
2024-08-26,883,664650
2024-08-27,611,485000
2024-08-28,547,453550
2024-08-29,459,407150
2024-08-30,629,522350
2024-08-31,592,565900
2024-09-01,296,243600
2024-09-02,75,57400
2024-09-03,20,16800
2024-09-04,6,5100
2024-09-05,0,0
