date_visit,n_people,amount_fee
2026-02-03,114,114100
2026-02-04,72,80400
2026-02-05,58,61000
2026-02-06,144,148900
2026-02-07,330,317300
2026-02-08,245,270200
2026-02-09,171,164400
2026-02-10,103,90500
2026-02-11,214,215000
2026-02-12,0,0
2026-02-13,141,118800
2026-02-14,199,181400
2026-02-15,173,194400
2026-02-16,92,110100
2026-02-17,56,54200
2026-02-18,71,42100
2026-02-19,79,69700
2026-02-20,105,116000
2026-02-21,367,390900
2026-02-22,571,520500
2026-02-23,213,234600
2026-02-24,83,87300
2026-02-25,0,0
2026-02-26,70,57600
2026-02-27,70,66300
2026-02-28,205,202700
2026-03-01,66,49100
2026-03-02,42,41400
2026-03-03,14,15300
2026-03-04,23,24500
2026-03-05,54,56200
2026-03-06,58,57600
2026-03-07,107,102400
2026-03-08,152,116900
2026-03-09,49,55700
2026-03-10,50,50200
2026-03-11,0,0
2026-03-12,46,47200
2026-03-13,65,67800
2026-03-14,212,210000
2026-03-15,133,122600
2026-03-16,51,48300
2026-03-17,47,44700
2026-03-18,50,29700
2026-03-19,137,129000
2026-03-20,385,298000
2026-03-21,468,399800
2026-03-22,207,241000
2026-03-23,93,106000
2026-03-24,94,97600
2026-03-25,70,77900
2026-03-26,173,175400
2026-03-27,243,220200
2026-03-28,309,298600
2026-03-29,220,241300
2026-03-30,163,183200
2026-03-31,114,114400
2026-04-01,20,24000
2026-04-02,32,34900
2026-04-03,50,51800
2026-04-04,0,0
