date_visit,n_people,amount_fee
2024-10-29,1067,797350
2024-10-30,1063,766550
2024-10-31,797,637050
2024-11-01,1521,1154700
2024-11-02,4638,3317600
2024-11-03,6691,4677000
2024-11-04,3007,2154350
2024-11-05,391,356700
2024-11-06,266,216400
2024-11-07,316,226900
2024-11-08,457,433900
2024-11-09,1024,843000
2024-11-10,1006,789600
2024-11-11,541,452800
2024-11-12,346,293600
2024-11-13,0,0
2024-11-14,324,229700
2024-11-15,534,467800
2024-11-16,1011,793200
2024-11-17,860,708700
2024-11-18,406,337000
2024-11-19,246,200400
2024-11-20,102,87500
2024-11-21,239,194800
2024-11-22,527,453600
2024-11-23,739,653900
2024-11-24,667,581900
2024-11-25,263,265700
2024-11-26,95,85900
2024-11-27,0,0
2024-11-28,71,68300
2024-11-29,160,143400
2024-11-30,331,330100
2024-12-01,268,306700
2024-12-02,50,48400
2024-12-03,34,32400
2024-12-04,17,12500
2024-12-05,9,0
2024-12-06,85,97700
2024-12-07,129,134400
2024-12-08,125,151300
2024-12-09,26,27100
2024-12-10,23,9500
2024-12-11,0,0
2024-12-12,15,13900
2024-12-13,31,28300
2024-12-14,99,114800
2024-12-15,84,78900
2024-12-16,12,13700
2024-12-17,12,12800
2024-12-18,12,14800
2024-12-19,8,4500
2024-12-20,23,29000
2024-12-21,45,52100
2024-12-22,30,30900
2024-12-23,3,5000
2024-12-24,5,4000
2024-12-25,0,0
2024-12-26,47,44300
2024-12-27,46,44300
2024-12-28,0,0
