date_visit,n_people,amount_fee
2026-09-06,0,0
2026-09-07,2293,1790650
2026-09-08,1629,1307100
2026-09-09,0,0
2026-09-10,1291,1032800
2026-09-11,1539,1267600
2026-09-12,2449,1905900
2026-09-13,1993,1531000
2026-09-14,1091,885300
2026-09-15,664,498400
2026-09-16,442,389550
2026-09-17,718,562600
2026-09-18,1176,940450
2026-09-19,3760,2822850
2026-09-20,9047,6472300
2026-09-21,9658,6885450
2026-09-22,6515,4726100
2026-09-23,2386,1846750
2026-09-24,0,0
2026-09-25,1294,1026450
2026-09-26,1290,1054800
2026-09-27,1187,1008300
2026-09-28,749,595700
2026-09-29,353,269500
2026-09-30,230,163950
2026-10-01,247,198500
2026-10-02,775,625750
2026-10-03,906,779000
2026-10-04,668,568300
2026-10-05,457,344950
2026-10-06,222,168000
2026-10-07,206,155950
2026-10-08,265,234800
2026-10-09,590,511500
2026-10-10,1428,1179150
2026-10-11,1809,1397650
2026-10-12,1060,898400
2026-10-13,590,526400
2026-10-14,0,0
2026-10-15,238,199500
2026-10-16,529,406300
2026-10-17,803,666100
2026-10-18,765,634350
2026-10-19,482,367500
2026-10-20,242,187650
2026-10-21,120,85400
2026-10-22,222,171150
2026-10-23,456,365700
2026-10-24,727,607200
2026-10-25,468,419150
2026-10-26,311,236200
2026-10-27,124,102250
2026-10-28,0,0
2026-10-29,217,178300
2026-10-30,271,223350
2026-10-31,466,396850
2026-11-01,559,469150
2026-11-02,642,545650
2026-11-03,171,156000
2026-11-04,54,58300
2026-11-05,12,14100
