date_visit,n_people,amount_fee
2026-09-16,0,0
2026-09-17,1671,1305750
2026-09-18,2005,1528000
2026-09-19,6660,4883000
2026-09-20,14121,10054350
2026-09-21,14319,10270450
2026-09-22,10843,7714000
2026-09-23,4021,2983100
2026-09-24,0,0
2026-09-25,1808,1400200
2026-09-26,1835,1455200
2026-09-27,1678,1381400
2026-09-28,1165,917900
2026-09-29,519,394750
2026-09-30,399,300800
2026-10-01,395,316750
2026-10-02,978,781650
2026-10-03,1388,1149900
2026-10-04,1082,904500
2026-10-05,765,593900
2026-10-06,363,264800
2026-10-07,362,259750
2026-10-08,448,394900
2026-10-09,799,682600
2026-10-10,1878,1505550
2026-10-11,2442,1855850
2026-10-12,1371,1122000
2026-10-13,846,710950
2026-10-14,0,0
2026-10-15,418,348000
2026-10-16,760,559650
2026-10-17,1132,946100
2026-10-18,1013,810550
2026-10-19,676,526000
2026-10-20,327,262850
2026-10-21,193,146250
2026-10-22,295,231050
2026-10-23,654,537150
2026-10-24,1035,862550
2026-10-25,689,572000
2026-10-26,464,352550
2026-10-27,202,171200
2026-10-28,0,0
2026-10-29,334,266500
2026-10-30,506,414550
2026-10-31,761,646250
2026-11-01,897,745650
2026-11-02,1010,811300
2026-11-03,299,266150
2026-11-04,75,81600
2026-11-05,43,41000
2026-11-06,105,109600
2026-11-07,151,174700
2026-11-08,113,111100
2026-11-09,121,110300
2026-11-10,67,69200
2026-11-11,0,0
2026-11-12,54,43500
2026-11-13,129,98300
2026-11-14,164,162300
2026-11-15,141,133800
