date_visit,n_people,amount_fee
2025-08-07,4107,2729950
2025-08-08,4719,3273650
2025-08-09,6226,4423450
2025-08-10,8828,6339550
2025-08-11,7660,5495700
2025-08-12,8176,5806100
2025-08-13,6380,4590850
2025-08-14,6165,4394350
2025-08-15,5272,3823500
2025-08-16,3411,2540600
2025-08-17,2321,1761100
2025-08-18,2744,1973150
2025-08-19,2138,1572400
2025-08-20,1857,1348050
2025-08-21,1812,1301650
2025-08-22,1981,1432700
2025-08-23,2057,1541200
2025-08-24,1829,1379100
2025-08-25,1737,1270150
2025-08-26,1200,891500
2025-08-27,979,779650
2025-08-28,960,755150
2025-08-29,912,739350
2025-08-30,881,745000
2025-08-31,789,639150
2025-09-01,229,201000
2025-09-02,114,83300
2025-09-03,209,182650
2025-09-04,152,121400
2025-09-05,365,300450
2025-09-06,502,475850
2025-09-07,460,364350
2025-09-08,243,210500
2025-09-09,135,111000
2025-09-10,0,0
2025-09-11,206,173750
2025-09-12,296,275450
2025-09-13,957,799700
2025-09-14,1273,1009700
2025-09-15,588,507600
2025-09-16,84,49800
2025-09-17,88,76200
2025-09-18,144,125900
2025-09-19,193,138200
2025-09-20,429,367650
2025-09-21,734,653550
2025-09-22,590,510750
2025-09-23,155,136350
2025-09-24,0,0
2025-09-25,181,135250
2025-09-26,174,132450
2025-09-27,305,268400
2025-09-28,187,149500
2025-09-29,130,122050
2025-09-30,42,37700
2025-10-01,37,22050
2025-10-02,84,74700
2025-10-03,109,89950
2025-10-04,208,173300
2025-10-05,92,66900
2025-10-06,0,0
