date_visit,n_people,amount_fee
2026-09-15,0,0
2026-09-16,1262,1034300
2026-09-17,1335,1046850
2026-09-18,1819,1391300
2026-09-19,6198,4557300
2026-09-20,13508,9599650
2026-09-21,13791,9876300
2026-09-22,10281,7347300
2026-09-23,3814,2843750
2026-09-24,0,0
2026-09-25,1762,1368300
2026-09-26,1798,1421500
2026-09-27,1647,1359000
2026-09-28,1104,877500
2026-09-29,514,389850
2026-09-30,373,284400
2026-10-01,365,296800
2026-10-02,936,741950
2026-10-03,1338,1109700
2026-10-04,1000,839350
2026-10-05,725,564200
2026-10-06,353,259400
2026-10-07,320,232150
2026-10-08,428,376900
2026-10-09,801,685550
2026-10-10,1843,1484800
2026-10-11,2394,1822150
2026-10-12,1339,1098200
2026-10-13,829,699950
2026-10-14,0,0
2026-10-15,403,337300
2026-10-16,745,554050
2026-10-17,1098,915300
2026-10-18,997,797100
2026-10-19,649,504000
2026-10-20,319,256450
2026-10-21,180,137350
2026-10-22,286,222950
2026-10-23,638,518550
2026-10-24,1006,839950
2026-10-25,685,567100
2026-10-26,444,336700
2026-10-27,202,171200
2026-10-28,0,0
2026-10-29,296,239800
2026-10-30,474,392550
2026-10-31,749,635900
2026-11-01,888,738850
2026-11-02,970,782000
2026-11-03,270,239450
2026-11-04,75,81600
2026-11-05,34,35500
2026-11-06,105,109600
2026-11-07,151,174700
2026-11-08,105,105100
2026-11-09,114,106300
2026-11-10,66,68200
2026-11-11,0,0
2026-11-12,52,41500
2026-11-13,119,92300
2026-11-14,120,131200
