date_visit,n_people,amount_fee
2025-11-08,2116,1651300
2025-11-09,1729,1345100
2025-11-10,846,672300
2025-11-11,625,544500
2025-11-12,0,0
2025-11-13,559,417800
2025-11-14,915,688400
2025-11-15,1139,909200
2025-11-16,965,814300
2025-11-17,598,532300
2025-11-18,290,270800
2025-11-19,282,248000
2025-11-20,259,273000
2025-11-21,579,520600
2025-11-22,1374,1109100
2025-11-23,2191,1674300
2025-11-24,955,754900
2025-11-25,433,361300
2025-11-26,0,0
2025-11-27,177,162600
2025-11-28,197,204800
2025-11-29,523,492900
2025-11-30,434,396000
2025-12-01,129,134300
2025-12-02,57,40900
2025-12-03,63,42900
2025-12-04,42,30500
2025-12-05,64,52600
2025-12-06,242,238500
2025-12-07,245,283000
2025-12-08,42,52800
2025-12-09,47,39700
2025-12-10,0,0
2025-12-11,32,24600
2025-12-12,70,75500
2025-12-13,112,138000
2025-12-14,106,107100
2025-12-15,38,41500
2025-12-16,17,16400
2025-12-17,10,9400
2025-12-18,17,18600
2025-12-19,43,44400
2025-12-20,99,101500
2025-12-21,21,31800
2025-12-22,33,28600
2025-12-23,12,14900
2025-12-24,0,0
2025-12-25,61,73100
2025-12-26,68,69200
2025-12-27,106,133600
2025-12-28,219,250800
2025-12-29,310,345100
2025-12-30,256,284800
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,127,135300
2026-01-03,50,57800
2026-01-04,27,29900
2026-01-05,12,16500
2026-01-06,7,11000
2026-01-07,0,0
