date_visit,n_people,amount_fee
2024-05-19,1646,1290250
2024-05-20,772,653350
2024-05-21,438,367750
2024-05-22,0,0
2024-05-23,375,261700
2024-05-24,617,520250
2024-05-25,1126,903850
2024-05-26,1022,861250
2024-05-27,573,478650
2024-05-28,257,188500
2024-05-29,176,127700
2024-05-30,219,183300
2024-05-31,303,274850
2024-06-01,983,845250
2024-06-02,700,627850
2024-06-03,232,208750
2024-06-04,113,87800
2024-06-05,110,80500
2024-06-06,109,105700
2024-06-07,233,190200
2024-06-08,647,573400
2024-06-09,613,522100
2024-06-10,263,227950
2024-06-11,85,73100
2024-06-12,0,0
2024-06-13,79,66300
2024-06-14,230,199050
2024-06-15,545,483600
2024-06-16,412,337350
2024-06-17,151,109800
2024-06-18,54,50100
2024-06-19,49,54350
2024-06-20,76,57550
2024-06-21,128,98450
2024-06-22,530,474300
2024-06-23,288,268600
2024-06-24,130,93800
2024-06-25,47,33200
2024-06-26,0,0
2024-06-27,78,66650
2024-06-28,141,116950
2024-06-29,359,305650
2024-06-30,263,179400
2024-07-01,63,56600
2024-07-02,18,7900
2024-07-03,23,23150
2024-07-04,35,31250
2024-07-05,91,68300
2024-07-06,224,183050
2024-07-07,165,143100
2024-07-08,44,40250
2024-07-09,46,33000
2024-07-10,0,0
2024-07-11,45,38750
2024-07-12,188,134450
2024-07-13,564,489650
2024-07-14,973,772350
2024-07-15,292,269450
2024-07-16,86,63950
2024-07-17,0,0
2024-07-18,0,0
