date_visit,n_people,amount_fee
2025-12-02,0,0
2025-12-03,239,188400
2025-12-04,219,171700
2025-12-05,315,283800
2025-12-06,833,742700
2025-12-07,751,695300
2025-12-08,247,285700
2025-12-09,173,149200
2025-12-10,0,0
2025-12-11,116,93600
2025-12-12,197,208100
2025-12-13,486,486000
2025-12-14,372,372100
2025-12-15,147,168800
2025-12-16,44,39200
2025-12-17,31,29100
2025-12-18,41,46400
2025-12-19,124,112400
2025-12-20,287,311000
2025-12-21,163,181800
2025-12-22,87,83100
2025-12-23,67,55900
2025-12-24,0,0
2025-12-25,154,169000
2025-12-26,239,252100
2025-12-27,357,381800
2025-12-28,574,508700
2025-12-29,745,672100
2025-12-30,795,694000
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,434,423100
2026-01-03,206,231500
2026-01-04,93,107100
2026-01-05,75,100900
2026-01-06,33,35000
2026-01-07,10,8000
2026-01-08,20,13000
2026-01-09,14,12900
2026-01-10,46,58500
2026-01-11,117,119900
2026-01-12,59,55500
2026-01-13,12,8300
2026-01-14,0,0
2026-01-15,6,11000
2026-01-16,12,8000
2026-01-17,13,18000
2026-01-18,38,26000
2026-01-19,5,6500
2026-01-20,9,4000
2026-01-21,5,5700
2026-01-22,0,0
2026-01-23,6,6000
2026-01-24,4,4700
2026-01-25,29,28600
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,4,5900
2026-01-31,7,11900
