date_visit,n_people,amount_fee
2023-10-01,0,0
2023-10-02,809,612800
2023-10-03,272,225950
2023-10-04,277,235150
2023-10-05,347,321150
2023-10-06,623,498100
2023-10-07,1798,1390150
2023-10-08,2821,2134950
2023-10-09,1211,963100
2023-10-10,612,472750
2023-10-11,0,0
2023-10-12,307,237600
2023-10-13,460,375950
2023-10-14,1140,929950
2023-10-15,968,795850
2023-10-16,454,398250
2023-10-17,258,219900
2023-10-18,236,226350
2023-10-19,257,223600
2023-10-20,443,361600
2023-10-21,871,738800
2023-10-22,712,591550
2023-10-23,372,329650
2023-10-24,207,156550
2023-10-25,0,0
2023-10-26,237,175500
2023-10-27,376,305400
2023-10-28,880,750200
2023-10-29,733,630800
2023-10-30,302,287200
2023-10-31,140,113100
2023-11-01,158,149900
2023-11-02,280,263450
2023-11-03,1052,858450
2023-11-04,1215,971500
2023-11-05,632,588700
2023-11-06,154,126900
2023-11-07,74,38900
2023-11-08,0,0
2023-11-09,70,40500
2023-11-10,152,146800
2023-11-11,241,199300
2023-11-12,291,302200
2023-11-13,193,185100
2023-11-14,74,49800
2023-11-15,53,58200
2023-11-16,53,38300
2023-11-17,84,80200
2023-11-18,351,320300
2023-11-19,250,283100
2023-11-20,67,71900
2023-11-21,38,29500
2023-11-22,0,0
2023-11-23,223,245600
2023-11-24,400,350800
2023-11-25,253,266800
2023-11-26,113,134300
2023-11-27,39,36700
2023-11-28,4,2000
2023-11-29,0,0
