date_visit,n_people,amount_fee
2025-10-24,0,0
2025-10-25,4294,3245050
2025-10-26,3365,2524850
2025-10-27,1690,1287300
2025-10-28,840,632450
2025-10-29,864,658550
2025-10-30,891,684950
2025-10-31,1537,1169150
2025-11-01,3431,2535650
2025-11-02,5302,3872150
2025-11-03,2277,1758100
2025-11-04,377,355300
2025-11-05,180,181700
2025-11-06,177,168000
2025-11-07,445,363800
2025-11-08,718,593700
2025-11-09,640,574100
2025-11-10,421,359400
2025-11-11,348,297100
2025-11-12,0,0
2025-11-13,323,224400
2025-11-14,481,394000
2025-11-15,602,534900
2025-11-16,507,467700
2025-11-17,358,340300
2025-11-18,148,132600
2025-11-19,174,150000
2025-11-20,154,177800
2025-11-21,313,313500
2025-11-22,862,726300
2025-11-23,1195,956400
2025-11-24,606,500800
2025-11-25,287,263100
2025-11-26,0,0
2025-11-27,119,113500
2025-11-28,85,95300
2025-11-29,332,359300
2025-11-30,254,281000
2025-12-01,41,45700
2025-12-02,37,22500
2025-12-03,45,22300
2025-12-04,9,10400
2025-12-05,16,13000
2025-12-06,107,100400
2025-12-07,112,140300
2025-12-08,21,29500
2025-12-09,32,26400
2025-12-10,0,0
2025-12-11,15,10500
2025-12-12,18,29000
2025-12-13,55,70400
2025-12-14,28,27000
2025-12-15,26,28700
2025-12-16,2,1000
2025-12-17,6,7400
2025-12-18,7,7500
2025-12-19,26,17300
2025-12-20,50,68600
2025-12-21,12,26400
2025-12-22,18,12900
2025-12-23,0,0
