date_visit,n_people,amount_fee
2026-02-09,0,0
2026-02-10,239,228500
2026-02-11,378,367800
2026-02-12,0,0
2026-02-13,243,213200
2026-02-14,336,316200
2026-02-15,299,297300
2026-02-16,124,144700
2026-02-17,70,70700
2026-02-18,109,94700
2026-02-19,99,92400
2026-02-20,144,149300
2026-02-21,486,498800
2026-02-22,720,643800
2026-02-23,303,301400
2026-02-24,116,130500
2026-02-25,0,0
2026-02-26,84,71500
2026-02-27,97,100300
2026-02-28,247,252500
2026-03-01,108,96400
2026-03-02,69,68100
2026-03-03,42,34100
2026-03-04,41,49900
2026-03-05,74,74400
2026-03-06,82,78000
2026-03-07,178,175600
2026-03-08,216,189100
2026-03-09,72,79300
2026-03-10,61,64600
2026-03-11,0,0
2026-03-12,50,49200
2026-03-13,97,99300
2026-03-14,265,260700
2026-03-15,191,171100
2026-03-16,74,70500
2026-03-17,59,56300
2026-03-18,67,44700
2026-03-19,193,184200
2026-03-20,485,371300
2026-03-21,563,467300
2026-03-22,244,273500
2026-03-23,142,161300
2026-03-24,121,127600
2026-03-25,123,142900
2026-03-26,217,211100
2026-03-27,324,285200
2026-03-28,367,340400
2026-03-29,276,280200
2026-03-30,260,242200
2026-03-31,177,178900
2026-04-01,30,33900
2026-04-02,67,62600
2026-04-03,142,137900
2026-04-04,165,193700
2026-04-05,58,62400
2026-04-06,34,29300
2026-04-07,21,15400
2026-04-08,0,0
2026-04-09,15,13000
2026-04-10,7,6400
