date_visit,n_people,amount_fee
2024-08-05,0,0
2024-08-06,5071,3320000
2024-08-07,4799,3286500
2024-08-08,4557,3020650
2024-08-09,5291,3588500
2024-08-10,6777,4735900
2024-08-11,9138,6476400
2024-08-12,8842,6221300
2024-08-13,7936,5595850
2024-08-14,6591,4643150
2024-08-15,5129,3601400
2024-08-16,4373,3123750
2024-08-17,3208,2351950
2024-08-18,2593,1915650
2024-08-19,2744,1936650
2024-08-20,2147,1472900
2024-08-21,1966,1424750
2024-08-22,1585,1127600
2024-08-23,1991,1418200
2024-08-24,2041,1464500
2024-08-25,1790,1256550
2024-08-26,1843,1277100
2024-08-27,1181,858200
2024-08-28,881,692200
2024-08-29,851,675850
2024-08-30,1028,777850
2024-08-31,956,796850
2024-09-01,733,620550
2024-09-02,323,262950
2024-09-03,123,100300
2024-09-04,157,114000
2024-09-05,177,130800
2024-09-06,374,285900
2024-09-07,753,667750
2024-09-08,581,517800
2024-09-09,302,220600
2024-09-10,170,138150
2024-09-11,0,0
2024-09-12,306,237750
2024-09-13,417,310100
2024-09-14,1073,868000
2024-09-15,1374,1035650
2024-09-16,741,628150
2024-09-17,208,173400
2024-09-18,87,72800
2024-09-19,146,110400
2024-09-20,246,186950
2024-09-21,842,701800
2024-09-22,1341,999600
2024-09-23,473,465100
2024-09-24,173,135650
2024-09-25,0,0
2024-09-26,141,135800
2024-09-27,207,146100
2024-09-28,472,409350
2024-09-29,383,311500
2024-09-30,109,99650
2024-10-01,34,25150
2024-10-02,36,26100
2024-10-03,19,11000
2024-10-04,60,50750
