date_visit,n_people,amount_fee
2026-03-16,0,0
2026-03-17,637,559000
2026-03-18,541,483700
2026-03-19,891,719300
2026-03-20,2438,1783500
2026-03-21,2574,1967100
2026-03-22,1105,875800
2026-03-23,631,522000
2026-03-24,388,346600
2026-03-25,497,420200
2026-03-26,789,555600
2026-03-27,1235,889900
2026-03-28,1431,1075700
2026-03-29,1053,810100
2026-03-30,990,730100
2026-03-31,542,415400
2026-04-01,384,300500
2026-04-02,351,294700
2026-04-03,533,425600
2026-04-04,660,545700
2026-04-05,416,373600
2026-04-06,239,242700
2026-04-07,130,129200
2026-04-08,0,0
2026-04-09,95,80500
2026-04-10,160,137500
2026-04-11,281,282900
2026-04-12,263,233700
2026-04-13,122,92000
2026-04-14,74,53900
2026-04-15,106,84100
2026-04-16,76,63100
2026-04-17,170,160700
2026-04-18,566,524450
2026-04-19,401,385650
2026-04-20,197,184150
2026-04-21,154,128400
2026-04-22,0,0
2026-04-23,73,51250
2026-04-24,179,187250
2026-04-25,453,470900
2026-04-26,298,306600
2026-04-27,147,125400
2026-04-28,169,140900
2026-04-29,182,188000
2026-04-30,408,365750
2026-05-01,605,565100
2026-05-02,861,749650
2026-05-03,1539,1230100
2026-05-04,1423,1157700
2026-05-05,914,815900
2026-05-06,385,407050
2026-05-07,118,116500
2026-05-08,81,53650
2026-05-09,220,212500
2026-05-10,154,129050
2026-05-11,65,48400
2026-05-12,40,28250
2026-05-13,0,0
2026-05-14,62,50600
2026-05-15,68,65050
