date_visit,n_people,amount_fee
2024-05-24,845,698850
2024-05-25,1580,1239450
2024-05-26,1314,1066300
2024-05-27,697,563550
2024-05-28,299,227400
2024-05-29,219,166700
2024-05-30,247,205300
2024-05-31,375,337050
2024-06-01,1162,977200
2024-06-02,842,733600
2024-06-03,363,332900
2024-06-04,137,108700
2024-06-05,137,108000
2024-06-06,133,122800
2024-06-07,293,241350
2024-06-08,736,661100
2024-06-09,701,593000
2024-06-10,285,249100
2024-06-11,118,98100
2024-06-12,0,0
2024-06-13,126,96450
2024-06-14,288,243650
2024-06-15,653,561000
2024-06-16,499,412750
2024-06-17,208,165200
2024-06-18,69,61100
2024-06-19,80,79450
2024-06-20,82,63550
2024-06-21,184,148700
2024-06-22,593,525600
2024-06-23,368,354500
2024-06-24,159,117650
2024-06-25,61,40600
2024-06-26,0,0
2024-06-27,105,93250
2024-06-28,170,139900
2024-06-29,467,380450
2024-06-30,313,225950
2024-07-01,75,68700
2024-07-02,23,12350
2024-07-03,33,33400
2024-07-04,67,51350
2024-07-05,108,77900
2024-07-06,265,222750
2024-07-07,216,187300
2024-07-08,64,57150
2024-07-09,57,40050
2024-07-10,0,0
2024-07-11,64,58500
2024-07-12,259,190450
2024-07-13,769,645650
2024-07-14,1150,895750
2024-07-15,486,443200
2024-07-16,131,98950
2024-07-17,63,62850
2024-07-18,100,82500
2024-07-19,106,88800
2024-07-20,434,366050
2024-07-21,458,410050
2024-07-22,0,0
2024-07-23,0,0
