date_visit,n_people,amount_fee
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,158,152900
2026-01-31,269,275500
2026-02-01,238,193200
2026-02-02,110,122700
2026-02-03,69,75500
2026-02-04,56,66100
2026-02-05,35,33000
2026-02-06,90,93300
2026-02-07,219,230400
2026-02-08,176,206800
2026-02-09,153,150700
2026-02-10,88,79900
2026-02-11,145,151500
2026-02-12,0,0
2026-02-13,106,95700
2026-02-14,157,139300
2026-02-15,122,141100
2026-02-16,63,72100
2026-02-17,41,39700
2026-02-18,49,33700
2026-02-19,59,50700
2026-02-20,86,88400
2026-02-21,276,304700
2026-02-22,472,447100
2026-02-23,179,201300
2026-02-24,69,66400
2026-02-25,0,0
2026-02-26,51,36700
2026-02-27,61,56900
2026-02-28,156,147000
2026-03-01,52,35200
2026-03-02,30,29400
2026-03-03,15,13900
2026-03-04,21,22500
2026-03-05,47,48200
2026-03-06,58,58900
2026-03-07,81,82500
2026-03-08,143,111100
2026-03-09,42,48300
2026-03-10,38,35600
2026-03-11,0,0
2026-03-12,38,40000
2026-03-13,50,53400
2026-03-14,165,156300
2026-03-15,120,106400
2026-03-16,46,38500
2026-03-17,33,32700
2026-03-18,37,24500
2026-03-19,94,90500
2026-03-20,297,256200
2026-03-21,421,364300
2026-03-22,166,193500
2026-03-23,60,71900
2026-03-24,80,83800
2026-03-25,54,61400
2026-03-26,118,128100
2026-03-27,201,196500
2026-03-28,216,221700
2026-03-29,93,102300
