date_visit,n_people,amount_fee
2024-01-03,951,761500
2024-01-04,564,470700
2024-01-05,487,408900
2024-01-06,566,514900
2024-01-07,508,470600
2024-01-08,216,220700
2024-01-09,73,48200
2024-01-10,0,0
2024-01-11,52,49300
2024-01-12,30,26900
2024-01-13,84,101600
2024-01-14,132,125700
2024-01-15,59,62900
2024-01-16,27,19900
2024-01-17,16,16400
2024-01-18,5,3500
2024-01-19,41,46400
2024-01-20,101,79500
2024-01-21,58,55900
2024-01-22,19,21300
2024-01-23,17,11000
2024-01-24,0,0
2024-01-25,19,21900
2024-01-26,25,25800
2024-01-27,82,85800
2024-01-28,75,93600
2024-01-29,59,63600
2024-01-30,12,6800
2024-01-31,7,5200
2024-02-01,16,13000
2024-02-02,19,20100
2024-02-03,33,22600
2024-02-04,22,23500
2024-02-05,6,8100
2024-02-06,6,3500
2024-02-07,4,3000
2024-02-08,2,2000
2024-02-09,2,2000
2024-02-10,67,78300
2024-02-11,85,75200
2024-02-12,36,36200
2024-02-13,5,7500
2024-02-14,0,0
2024-02-15,0,0
2024-02-16,5,3000
2024-02-17,23,24600
2024-02-18,28,28400
2024-02-19,10,8300
2024-02-20,2,2000
2024-02-21,4,3800
2024-02-22,11,16600
2024-02-23,32,27700
2024-02-24,86,92500
2024-02-25,15,19000
2024-02-26,4,6400
2024-02-27,5,9800
2024-02-28,0,0
2024-02-29,0,0
2024-03-01,0,0
2024-03-02,0,0
2024-03-03,0,0
